task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
gpt-5.4-high-no-system-prompt,gpt-5.4-high-no-system-prompt,0.5459063702436939,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4957497275849448,0.561643807264164,True,0.06589407967921918,0.06589407967921918,,,,,,,
gpt-5.4-mini-high,gpt-5.4-mini-high,0.4661523929471032,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4277432369369188,0.4936030362897693,True,0.06585979935285052,0.06585979935285052,,,,,,,
gpt-5.4-nano-high,gpt-5.4-nano-high,0.4116967660646787,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.3719338744114199,0.4379289510701136,True,0.0659950766586937,0.0659950766586937,,,,,,,
gpt-5.4-no-system-prompt,gpt-5.4-no-system-prompt,0.525892948521134,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.483260310877799,0.5479829583641381,True,0.0647226474863391,0.0647226474863391,,,,,,,
gpt-5.5-high-text,gpt-5.5-high-text,0.5524964589235127,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.5016621742841495,0.5647543400045815,True,0.06309216572043197,0.06309216572043197,,,,,,,
gpt-5.5-instant,gpt-5.5-instant,0.4768008266089352,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4303788633516096,0.4934509722129805,True,0.06307210886137093,0.06307210886137093,,,,,,,
gpt-5.5-text,gpt-5.5-text,0.540727304137514,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4986135815519448,0.5639302558825644,True,0.0653166743306196,0.0653166743306196,,,,,,,
gpt-5.5-xhigh,gpt-5.5-xhigh,0.5409586056644881,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4949851898701193,0.5633048291239632,True,0.06831963925384388,0.06831963925384388,,,,,,,
gpt-5.5-xhigh-text,gpt-5.5-xhigh-text,0.5451811995568919,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4954717033441792,0.5628872647724734,True,0.06741556142829419,0.06741556142829419,,,,,,,
grok-4-1-fast-non-reasoning,grok-4-1-fast-non-reasoning,0.4408376963350785,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4076151593411845,0.4814440233887272,True,0.07382886404754274,0.07382886404754274,,,,,,,
grok-4.1,grok-4.1,0.4966009517335146,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4449389849399167,0.5136859152985492,True,0.06874693035863255,0.06874693035863255,,,,,,,
grok-4.1-thinking,grok-4.1-thinking,0.4875289065080938,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4388333982505924,0.5063175125499737,True,0.06748411429938128,0.06748411429938128,,,,,,,
grok-4.20-beta-0309-reasoning,grok-4.20-beta-0309-reasoning,0.5229626529971755,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4871106928746581,0.5525497715554464,True,0.0654390786807883,0.0654390786807883,,,,,,,
grok-4.20-multi-agent-beta-0309,grok-4.20-multi-agent-beta-0309,0.5144668400520156,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4859149060770094,0.5508456609225088,True,0.06493075484549937,0.06493075484549937,,,,,,,
grok-4.3-text,grok-4.3-text,0.4601354872329338,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4295052120770026,0.4946764182518965,True,0.06517120617489391,0.06517120617489391,,,,,,,
model-63,model-63,0.5801152122893108,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.5404753353422322,0.6084422874151691,True,0.0679669520729369,0.0679669520729369,,,,,,,
model-37,model-37,0.5629637712789175,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.5278792181776486,0.5964038949949368,True,0.06852467681728824,0.06852467681728824,,,,,,,
model-15,model-15,0.5754525116941225,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.5314878186597425,0.5990205013841524,True,0.06753268272440993,0.06753268272440993,,,,,,,
kimi-k2-thinking-turbo,kimi-k2-thinking-turbo,0.4647399925177703,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4342213701100142,0.502827527920216,True,0.0686061578102018,0.0686061578102018,,,,,,,
kimi-k2.5-instant-20260302,kimi-k2.5-instant-20260302,0.5137191319531055,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4771054955402076,0.5423977465852811,True,0.06529225104507347,0.06529225104507347,,,,,,,
kimi-k2.5-text,kimi-k2.5-text,0.5163084228942765,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4782784848382354,0.5435369945477084,True,0.06525850970947306,0.06525850970947306,,,,,,,
kimi-k2.6-text,kimi-k2.6-text,0.5222162015713898,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4932014248661657,0.5600424632883065,True,0.06684103842214084,0.06684103842214084,,,,,,,
model-22,model-22,0.5567980513728964,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.5177142733300156,0.5858285725147843,True,0.06811429918476863,0.06811429918476863,,,,,,,
model-01,model-01,0.5255226868327402,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4957203160489332,0.560530284535152,True,0.06480996848621878,0.06480996848621878,,,,,,,
model-59,model-59,0.4582629900581504,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.438903015877592,0.5075792486525699,True,0.06867623277497786,0.06867623277497786,,,,,,,
model-14,model-14,0.5008753160863645,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4732747088129159,0.5428001660401536,True,0.06952545722723769,0.06952545722723769,,,,,,,
mimo-v2.5-pro-text,mimo-v2.5-pro-text,0.5327407243816255,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.506060499468913,0.5721212069396904,True,0.06606070747077741,0.06606070747077741,,,,,,,
mimo-v2.5-text,mimo-v2.5-text,0.48037814664175,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4520047202943272,0.5198395128062443,True,0.0678347925119171,0.0678347925119171,,,,,,,
minimax-m2.5,minimax-m2.5,0.3633814518641604,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.3287914949174942,0.3957329238274615,True,0.0669414289099673,0.0669414289099673,,,,,,,
mistral-medium-2508,mistral-medium-2508,0.4813352476669059,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4419068708758369,0.5099692205692291,True,0.0680623496933922,0.0680623496933922,,,,,,,
mistral-small-2603,mistral-small-2603,0.4281591099916036,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4016863034634565,0.4681493781027524,True,0.0664630746392959,0.0664630746392959,,,,,,,
qwen3-235b-a22b-instruct-2507,qwen3-235b-a22b-instruct-2507,0.4819336906889021,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.440753348361368,0.5095619460913184,True,0.06880859772995046,0.06880859772995046,,,,,,,
qwen3-max-preview-v2,qwen3-max-preview-v2,0.4885566629752676,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4540696804429727,0.5221388595375633,True,0.06806917909459065,0.06806917909459065,,,,,,,
qwen3.5-122b-a10b,qwen3.5-122b-a10b,0.4672853393325834,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4385949909722146,0.5058515273088561,True,0.06725653633664147,0.06725653633664147,,,,,,,
qwen3.5-27b,qwen3.5-27b,0.4643560456872784,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4390956218288856,0.5083802414432468,True,0.06928461961436116,0.06928461961436116,,,,,,,
qwen3.5-35b-a3b,qwen3.5-35b-a3b,0.442993515850144,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4093684580797472,0.4771070060525272,True,0.06773854797278,0.06773854797278,,,,,,,
qwen3.5-397b-a17b-text,qwen3.5-397b-a17b-text,0.5056313352521586,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4852537651409005,0.551814694654179,True,0.06656092951327847,0.06656092951327847,,,,,,,
qwen3.5-flash,qwen3.5-flash,0.4387486541452327,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4120200536544188,0.4781303334410646,True,0.0661102797866458,0.0661102797866458,,,,,,,
qwen3.6-27b,qwen3.6-27b,0.4807250656167979,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4651701950256826,0.5311842687274749,True,0.06601407370179235,0.06601407370179235,,,,,,,
qwen3.6-plus-text,qwen3.6-plus-text,0.5010117617301125,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4815394224566945,0.5472823883058695,True,0.065742965849175,0.065742965849175,,,,,,,
model-02,model-02,0.4517857142857143,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4235148079109844,0.4908811555293592,True,0.06736634761837479,0.06736634761837479,,,,,,,
model-21,model-21,0.3663909368818557,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.3387800995923277,0.4073214583380807,True,0.06854135874575301,0.06854135874575301,,,,,,,
model-67,model-67,0.4154458196514271,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.3870791187681477,0.4546371388307059,True,0.06755802006255818,0.06755802006255818,,,,,,,
model-49,model-49,0.5504850088183422,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.5213975943551252,0.586140126152738,True,0.0647425317976128,0.0647425317976128,,,,,,,
